X,Y,V,R,T
4.0018e-11,-8.24235e-12,-1.5,1.15393e-11,-133.716
-5.34331e-12,-9.54975e-12,-1.4874371859296482,1.06866e-11,-55.518
-5.57068e-12,-1.01182e-11,-1.4748743718592965,1.19372e-11,-59.01
-7.44654e-12,-9.60659e-12,-1.4623115577889447,1.1994e-11,-54.942
-6.13912e-12,-1.03456e-11,-1.449748743718593,1.17098e-11,-58.116
-7.3897e-12,-9.54975e-12,-1.4371859296482412,1.17666e-11,-52.578
-7.1623e-12,-9.60659e-12,-1.4246231155778895,1.26193e-11,-54.126
-5.62753e-12,-7.21914e-12,-1.4120603015075377,9.26553e-12,-55.398
-4.5475e-12,-9.72028e-12,-1.399497487437186,1.07435e-11,-64.224
-5.79806e-12,-9.66344e-12,-1.3869346733668342,1.11414e-11,-60.066
-5.91174e-12,-9.94765e-12,-1.3743718592964824,1.14256e-11,-63.438
-6.82124e-12,-9.77712e-12,-1.3618090452261307,1.18235e-11,-51.84
-7.21914e-12,-8.86763e-12,-1.349246231155779,1.17666e-11,-50.382
-6.2528e-12,-9.20869e-12,-1.3366834170854272,1.10845e-11,-55.74
-6.2528e-12,-8.75394e-12,-1.3241206030150754,1.10277e-11,-54.582
-5.51384e-12,-7.67392e-12,-1.3115577889447236,9.20869e-12,-52.926
-7.04861e-12,-8.52657e-12,-1.2989949748743719,1.0914e-11,-50.442
-8.12866e-12,-7.44654e-12,-1.2864321608040201,1.14256e-11,-43.944
-6.02543e-12,-8.75394e-12,-1.2738693467336684,1.04592e-11,-56.814
-6.87808e-12,-7.21914e-12,-1.2613065326633166,1.02887e-11,-49.458
-5.79806e-12,-7.56023e-12,-1.2487437185929648,9.66344e-12,-52.542
-7.10546e-12,-9.20869e-12,-1.236180904522613,1.02319e-11,-49.356
-6.42333e-12,-7.7876e-12,-1.2236180904522613,9.94765e-12,-51.372
-7.04861e-12,-8.52657e-12,-1.2110552763819096,1.03456e-11,-45.912
-7.56023e-12,-5.68437e-12,-1.1984924623115578,9.89081e-12,-44.724
-5.51384e-12,-9.43606e-12,-1.185929648241206,1.06298e-11,-61.278
-6.2528e-12,-6.76439e-12,-1.1733668341708543,9.20869e-12,-53.382
-5.79806e-12,-6.48018e-12,-1.1608040201005025,8.41288e-12,-54.438
-6.65071e-12,-7.21914e-12,-1.1482412060301508,9.49291e-12,-49.704
-4.20644e-12,-7.67392e-12,-1.135678391959799,8.92447e-12,-60.384
-3.1264e-12,-6.70755e-12,-1.1231155778894473,7.73076e-12,-56.922
-4.66119e-12,-6.70755e-12,-1.1105527638190955,8.18551e-12,-50.61
-5.51384e-12,-7.10546e-12,-1.0979899497487438,9.72028e-12,-49.866
-6.19596e-12,-7.10546e-12,-1.085427135678392,9.095e-12,-55.266
-4.26328e-12,-6.2528e-12,-1.0728643216080402,8.18551e-12,-57.474
-3.58115e-12,-6.36649e-12,-1.0603015075376885,6.87808e-12,-61.08
-3.75169e-12,-6.70755e-12,-1.0477386934673367,7.95813e-12,-59.034
-3.1264e-12,-8.46972e-12,-1.035175879396985,9.54975e-12,-62.988
-3.69485e-12,-7.56023e-12,-1.0226130653266332,9.095e-12,-63.906
-3.75169e-12,-7.3897e-12,-1.0100502512562815,7.73076e-12,-60.9
-2.95587e-12,-6.53702e-12,-0.9974874371859296,6.76439e-12,-72.9
-1.98953e-12,-8.86763e-12,-0.9849246231155778,8.01498e-12,-74.934
-2.04638e-12,-6.99177e-12,-0.9723618090452261,7.3897e-12,-74.586
-2.84218e-12,-6.70755e-12,-0.9597989949748743,7.67392e-12,-69.21
-8.52655e-13,-7.90129e-12,-0.9472361809045226,8.58341e-12,-82.434
-2.55797e-12,-8.98132e-12,-0.9346733668341708,8.75394e-12,-76.122
-1.70531e-12,-7.61707e-12,-0.922110552763819,7.95813e-12,-75.438
7.95811e-13,-8.92447e-12,-0.9095477386934673,7.21914e-12,-94.482
1.70531e-13,-7.7876e-12,-0.8969849246231155,7.95813e-12,-88.56
-9.66345e-13,-8.98132e-12,-0.8844221105527638,9.89081e-12,-80.7
-4.54751e-13,-8.24235e-12,-0.871859296482412,8.52657e-12,-81.936
-5.68439e-14,-9.60659e-12,-0.8592964824120602,9.49291e-12,-84.984
3.41062e-13,-9.15185e-12,-0.8467336683417085,8.98132e-12,-89.148
-1.19372e-12,-9.32238e-12,-0.8341708542713567,1.00045e-11,-81.198
-8.52655e-13,-9.72028e-12,-0.821608040201005,1.00045e-11,-87.528
7.95811e-13,-8.86763e-12,-0.8090452261306532,9.49291e-12,-96.63
2.44428e-12,-9.94765e-12,-0.7964824120603015,9.77712e-12,-100.356
2.04638e-12,-1.05161e-11,-0.7839195979899497,1.02887e-11,-98.34
2.44428e-12,-1.08571e-11,-0.7713567839195979,1.10277e-11,-103.614
9.66345e-13,-1.0914e-11,-0.7587939698492462,1.14256e-11,-93.834
2.21691e-12,-1.08571e-11,-0.7462311557788944,1.14824e-11,-102.222
2.38744e-12,-1.17098e-11,-0.7336683417085427,1.17098e-11,-99.33
2.67165e-12,-1.07435e-11,-0.7211055276381909,1.10845e-11,-107.454
1.93269e-12,-1.05161e-11,-0.7085427135678392,1.05161e-11,-104.124
3.41062e-12,-1.11982e-11,-0.6959798994974874,1.13119e-11,-107.262
4.32013e-12,-1.15961e-11,-0.6834170854271356,1.2733e-11,-108.906
4.94541e-12,-1.18803e-11,-0.6708542713567839,1.36425e-11,-111.258
5.51384e-12,-1.21077e-11,-0.6582914572864321,1.28467e-11,-116.232
5.74121e-12,-1.11982e-11,-0.6457286432160804,1.33014e-11,-116.436
6.42333e-12,-1.26761e-11,-0.6331658291457286,1.38698e-11,-114.846
7.3897e-12,-1.13119e-11,-0.6206030150753769,1.35856e-11,-124.854
8.46972e-12,-1.19372e-11,-0.6080402010050251,1.49499e-11,-125.136
9.49291e-12,-1.08003e-11,-0.5954773869346733,1.51205e-11,-129.726
1.09708e-11,-1.30172e-11,-0.5829145728643216,1.57457e-11,-132.6
1.23351e-11,-1.19372e-11,-0.5703517587939698,1.56889e-11,-136.974
1.14256e-11,-1.1653e-11,-0.5577889447236181,1.66552e-11,-133.626
1.39835e-11,-1.24488e-11,-0.5452261306532663,1.75079e-11,-137.694
1.53478e-11,-1.13687e-11,-0.5326633165829145,1.80195e-11,-144.018
1.70531e-11,-1.07435e-11,-0.5201005025125628,1.98953e-11,-147.03
1.93837e-11,-1.06298e-11,-0.507537688442211,2.18848e-11,-150.084
2.27943e-11,-9.89081e-12,-0.49497487437185916,2.46702e-11,-157.452
2.59207e-11,-1.02887e-11,-0.4824120603015074,2.80239e-11,-158.982
2.77965e-11,-9.94765e-12,-0.46984924623115565,3.01841e-11,-159.948
3.03546e-11,-1.00045e-11,-0.4572864321608039,3.15483e-11,-163.308
3.36515e-11,-1.04592e-11,-0.44472361809045213,3.59253e-11,-164.016
3.69484e-11,-1.10845e-11,-0.4321608040201004,3.96769e-11,-163.722
4.09843e-11,-9.32238e-12,-0.4195979899497486,4.18938e-11,-167.46
4.52476e-11,-9.32238e-12,-0.40703517587939686,4.59865e-11,-168.852
4.87719e-11,-7.84445e-12,-0.3944723618090451,4.9454e-11,-170.424
5.27509e-11,-7.61707e-12,-0.38190954773869334,5.29214e-11,-172.404
5.75826e-11,-7.7876e-12,-0.3693467336683416,5.84355e-11,-172.896
6.19598e-11,-6.76439e-12,-0.35678391959798983,6.36651e-11,-173.628
6.69051e-11,-6.93492e-12,-0.34422110552763807,6.80989e-11,-173.622
7.32716e-11,-7.3897e-12,-0.3316582914572863,7.39537e-11,-174.078
7.9297e-11,-6.2528e-12,-0.31909547738693456,7.95812e-11,-175.488
8.55498e-11,-6.87808e-12,-0.3065326633165828,8.5834e-11,-175.548
9.14615e-11,-7.21914e-12,-0.29396984924623104,9.20868e-11,-175.542
9.72027e-11,-7.10546e-12,-0.2814070351758793,9.77711e-11,-175.776
1.04024e-10,-6.93492e-12,-0.2688442211055275,1.0499e-10,-176.214
1.11527e-10,-7.3897e-12,-0.25628140703517577,1.12039e-10,-175.956
1.18463e-10,-7.50339e-12,-0.243718592964824,1.18519e-10,-176.376
1.26364e-10,-6.48018e-12,-0.23115577889447225,1.2716e-10,-177.102
1.33867e-10,-6.36649e-12,-0.2185929648241205,1.3472e-10,-177.348
1.42394e-10,-7.10546e-12,-0.20603015075376874,1.43872e-10,-177.228
1.51943e-10,-6.13912e-12,-0.19346733668341698,1.52114e-10,-177.528
1.59731e-10,-6.70755e-12,-0.18090452261306522,1.61209e-10,-177.486
1.69508e-10,-7.3897e-12,-0.16834170854271346,1.7019e-10,-177.624
1.78205e-10,-7.61707e-12,-0.1557788944723617,1.78887e-10,-177.738
1.88835e-10,-8.86763e-12,-0.14321608040200995,1.89119e-10,-177.276
1.98498e-10,-8.46972e-12,-0.1306532663316582,1.9918e-10,-177.324
2.07423e-10,-9.20869e-12,-0.11809045226130643,2.08218e-10,-177.432
2.172e-10,-8.81079e-12,-0.10552763819095468,2.17882e-10,-177.624
2.26692e-10,-9.72028e-12,-0.09296482412060292,2.27829e-10,-177.504
2.38574e-10,-1.19372e-11,-0.08040201005025116,2.39028e-10,-177.168
2.50227e-10,-1.0175e-11,-0.0678391959798994,2.50795e-10,-177.516
2.6006e-10,-1.11414e-11,-0.055276381909547645,2.60572e-10,-177.48
2.69667e-10,-1.09708e-11,-0.04271356783919589,2.70349e-10,-177.594
2.82968e-10,-1.19372e-11,-0.03015075376884413,2.82627e-10,-177.492
2.9195e-10,-1.26193e-11,-0.017587939698492372,2.92802e-10,-177.528
3.03602e-10,-1.23919e-11,-0.005025125628140614,3.04569e-10,-177.738
3.15369e-10,-1.44951e-11,0.007537688442211143,3.15767e-10,-177.348
3.2543e-10,-1.48362e-11,0.0201005025125629,3.26112e-10,-177.486
3.37083e-10,-1.32446e-11,0.03266331658291466,3.38391e-10,-177.696
3.48566e-10,-1.51205e-11,0.045226130653266416,3.48793e-10,-177.69
3.5965e-10,-1.603e-11,0.057788944723618174,3.60503e-10,-177.36
3.70393e-10,-1.59731e-11,0.07035175879396993,3.7136e-10,-177.48
3.82842e-10,-1.70531e-11,0.08291457286432169,3.83752e-10,-177.534
3.93984e-10,-1.73374e-11,0.09547738693467345,3.94381e-10,-177.378
4.05182e-10,-1.87016e-11,0.1080402010050252,4.05693e-10,-177.342
4.18312e-10,-1.711e-11,0.12060301507537696,4.1854e-10,-177.57
4.27407e-10,-1.85879e-11,0.13316582914572872,4.28146e-10,-177.618
